timestamp,dt,angle,angle_dt,pwm,pos,pos_dt
1757478125.2522135,0.05,2.7969,0.0588,-25.0,-0.0034,-0.1276
1757478125.2990634,0.051,2.7716,-0.0907,-25.0,-0.0125,-0.2553
1757478125.3477788,0.052,2.7534,-0.1797,-25.0,-0.0277,-0.3191
1757478125.3969207,0.051,2.737,-0.3228,-25.0,-0.0459,-0.3191
1757478125.4448655,0.051,2.7154,-0.4865,-25.0,-0.066,-0.4467
1757478125.4936528,0.052,2.6959,-0.3415,-25.0,-0.0856,-0.3829
1757478125.5423458,0.051,2.7123,0.2058,0.0,-0.1012,-0.1914
1757478125.591099,0.051,2.7656,0.2359,0.0,-0.1075,-0.0638
1757478125.6398513,0.052,2.7956,0.4713,0.0,-0.1085,0.0
1757478125.737332,0.051,2.8203,0.5439,0.0,-0.1084,0.0
1757478125.786137,0.051,2.8402,0.3914,0.0,-0.1084,0.0
1757478125.83482,0.051,2.8483,0.0932,0.0,-0.1084,0.0
1757478125.8835905,0.051,2.8405,-0.2266,0.0,-0.1084,0.0
1757478125.9322984,0.051,2.8215,-0.4138,0.0,-0.1084,0.0
1757478125.9811182,0.051,2.7986,-0.41,0.0,-0.1084,0.0
1757478126.0298207,0.051,2.7823,-0.2425,0.0,-0.1084,0.0
1757478126.0785983,0.051,2.7775,-0.0099,0.0,-0.1084,0.0
1757478126.127293,0.051,2.7846,0.2247,0.0,-0.1084,0.0
1757478126.1760318,0.051,2.8002,0.343,0.0,-0.1084,0.0
1757478126.224908,0.051,2.8164,0.3097,0.0,-0.1084,0.0
1757478126.27359,0.051,2.8252,0.1408,0.0,-0.1084,0.0
1757478126.322364,0.051,2.8241,-0.0783,0.0,-0.1084,0.0
1757478126.371412,0.051,2.8136,-0.2368,0.0,-0.1084,0.0
1757478126.4193902,0.051,2.7999,-0.268,0.0,-0.1084,0.0
1757478126.4680674,0.051,2.7886,-0.1807,0.0,-0.1084,0.0
1757478126.5173254,0.051,2.7842,-0.0299,0.0,-0.1084,0.0
1757478126.56603,0.051,2.7879,0.1237,0.0,-0.1084,0.0
1757478126.614816,0.051,2.7971,0.2086,0.0,-0.1084,0.0
1757478126.663577,0.05,2.807,0.1968,0.0,-0.1084,0.0
1757478126.7124352,0.052,2.8131,0.0913,0.0,-0.1084,0.0
1757478126.7610426,0.051,2.8123,-0.051,0.0,-0.1084,0.0
1757478126.8585334,0.05,2.8058,-0.1473,0.0,-0.1084,0.0
1757478126.9072852,0.051,2.797,-0.1629,0.0,-0.1084,0.0
1757478126.9560628,0.051,2.7906,-0.1025,0.0,-0.1084,0.0
1757478127.004822,0.051,2.7887,-0.0003,0.0,-0.1084,0.0
1757478127.0535524,0.051,2.7918,0.0919,0.0,-0.1084,0.0
1757478127.1022716,0.051,2.7979,0.1333,0.0,-0.1084,0.0
1757478127.1511343,0.051,2.8038,0.1061,0.0,-0.1084,0.0
1757478127.199746,0.051,2.8062,0.0256,0.0,-0.1084,0.0
1757478127.2486572,0.051,2.8043,-0.0578,0.0,-0.1084,0.0
1757478127.29727,0.051,2.7996,-0.1041,0.0,-0.1084,0.0
1757478127.346023,0.051,2.7945,-0.0864,0.0,-0.1084,0.0
1757478127.3951163,0.051,2.7919,-0.0343,0.0,-0.1084,0.0
1757478127.4430501,0.051,2.7925,0.0296,0.0,-0.1084,0.0
1757478127.491717,0.051,2.7957,0.0733,0.0,-0.1084,0.0
1757478127.540985,0.051,2.7995,0.0708,0.0,-0.1084,0.0
1757478127.5896926,0.051,2.8019,0.0348,0.0,-0.1084,0.0
1757478127.63854,0.051,2.8016,-0.0209,0.0,-0.1084,0.0
1757478127.7358508,0.051,2.7991,-0.0583,0.0,-0.1084,0.0
1757478127.783419,0.051,2.796,-0.0604,0.0,-0.1084,0.0
1757478127.7870653,0.051,2.7937,-0.0287,0.0,-0.1084,0.0
1757478127.833547,0.051,2.7936,0.011,0.0,-0.1084,0.0
1757478127.8824077,0.051,2.7954,0.0408,0.0,-0.1084,0.0
1757478127.979736,0.051,2.7979,0.0484,0.0,-0.1084,0.0
1757478128.0285397,0.051,2.7995,0.0255,0.0,-0.1084,0.0
1757478128.0772982,0.051,2.7997,-0.0086,0.0,-0.1084,0.0
1757478128.1261115,0.051,2.7982,-0.0335,0.0,-0.1084,0.0
1757478128.1747525,0.051,2.7962,-0.0375,0.0,-0.1084,0.0
1757478128.2234943,0.051,2.7947,-0.0223,0.0,-0.1084,0.0
1757478128.2722425,0.051,2.7945,0.0043,0.0,-0.1084,0.0
1757478128.3209896,0.051,2.7956,0.0288,0.0,-0.1084,0.0
1757478128.3702295,0.051,2.7971,0.0276,0.0,-0.1084,0.0
1757478128.4180775,0.051,2.7982,0.0155,0.0,-0.1084,0.0
1757478128.466846,0.051,2.7982,-0.0041,0.0,-0.1084,0.0
1757478128.516047,0.051,2.7974,-0.0231,0.0,-0.1084,0.0
1757478128.6610694,0.051,2.7961,-0.0247,0.0,-0.1084,0.0
1757478128.6648853,0.051,2.7954,-0.0093,0.0,-0.1084,0.0
1757478128.7109287,0.051,2.7955,0.0053,0.0,-0.1084,0.0
1757478128.7584178,0.051,2.7962,0.0169,0.0,-0.1084,0.0
1757478128.7621284,0.051,2.7972,0.0175,0.0,-0.1084,0.0
1757478128.808714,0.051,2.7978,0.0094,0.0,-0.1084,0.0
1757478128.8570108,0.051,2.7976,-0.0085,0.0,-0.1084,0.0
1757478128.9057715,0.051,2.797,-0.0145,0.0,-0.1084,0.0
1757478128.955003,0.051,2.7962,-0.0165,0.0,-0.1084,0.0
1757478129.052277,0.051,2.7956,-0.0081,0.0,-0.1084,0.0
1757478129.1016457,0.051,2.7957,0.0042,0.0,-0.1084,0.0
1757478129.1495821,0.051,2.7962,0.0129,0.0,-0.1084,0.0
1757478129.1982238,0.051,2.7968,0.0122,0.0,-0.1084,0.0
1757478129.2468007,0.051,2.797,0.0013,0.0,-0.1084,0.0
1757478129.295475,0.051,2.7968,-0.0065,0.0,-0.1084,0.0
1757478129.3442714,0.051,2.7963,-0.0119,0.0,-0.1084,0.0
1757478129.3934286,0.051,2.7958,-0.0103,0.0,-0.1084,0.0
1757478129.4444976,0.051,2.7956,-0.0014,0.0,-0.1084,0.0
1757478129.4927652,0.051,2.7959,0.0045,0.0,-0.1084,0.0
1757478129.541655,0.051,2.7962,0.0073,0.0,-0.1084,0.0
1757478129.5887115,0.051,2.7967,0.0031,0.0,-0.1084,0.0
1757478129.636633,0.051,2.7967,-0.0002,0.0,-0.1084,0.0
1757478129.6854126,0.051,2.7964,-0.0083,0.0,-0.1084,0.0
1757478129.7360494,0.051,2.796,-0.0066,0.0,-0.1084,0.0
1757478129.782686,0.051,2.7957,-0.0035,0.0,-0.1084,0.0
1757478129.8314128,0.051,2.7959,0.0007,0.0,-0.1084,0.0
1757478129.8798277,0.051,2.7961,0.0019,0.0,-0.1084,0.0
1757478129.9287398,0.051,2.7964,0.003,0.0,-0.1084,0.0
1757478129.9777625,0.051,2.7966,0.0017,0.0,-0.1084,0.0
1757478130.0260632,0.051,2.7964,-0.0034,0.0,-0.1084,0.0
1757478130.0756269,0.051,2.7962,-0.0055,0.0,-0.1084,0.0
1757478130.1722493,0.051,2.7961,-0.0071,0.0,-0.1084,0.0
1757478130.2213264,0.051,2.7961,-0.0011,0.0,-0.1084,0.0
1757478130.2698333,0.051,2.796,0.0041,0.0,-0.1084,0.0
1757478130.3188038,0.051,2.7963,0.003,0.0,-0.1084,0.0
1757478130.3674114,0.051,2.7964,0.0021,0.0,-0.1084,0.0
1757478130.4166448,0.051,2.7964,0.0005,0.0,-0.1084,0.0
1757478130.4680383,0.051,2.7964,-0.0022,0.0,-0.1084,0.0
1757478130.5150414,0.051,2.7963,-0.0038,0.0,-0.1084,0.0
1757478130.5629895,0.051,2.7963,-0.0018,0.0,-0.1084,0.0
1757478130.6120632,0.051,2.7963,0.001,0.0,-0.1084,0.0
1757478130.6605136,0.051,2.7963,0.0041,0.0,-0.1084,0.0
1757478130.7093914,0.051,2.7965,-0.0001,0.0,-0.1084,0.0
1757478130.7576764,0.051,2.7966,0.0006,0.0,-0.1084,0.0
1757478130.808055,0.051,2.7965,0.0007,0.0,-0.1084,0.0
1757478130.855389,0.051,2.7964,-0.003,0.0,-0.1084,0.0
1757478130.9041812,0.051,2.7962,0.0009,0.0,-0.1084,0.0
1757478130.9528894,0.051,2.796,-0.003,0.0,-0.1084,0.0
1757478131.001534,0.051,2.7962,0.0027,0.0,-0.1084,0.0
1757478131.050509,0.051,2.7963,0.0039,0.0,-0.1084,0.0
1757478131.0999181,0.051,2.7965,-0.0014,0.0,-0.1084,0.0
1757478131.1478112,0.051,2.7965,-0.0003,0.0,-0.1084,0.0
1757478131.2465565,0.051,2.7965,-0.0011,0.0,-0.1084,0.0
1757478131.2939713,0.051,2.7964,-0.0018,0.0,-0.1084,0.0
1757478131.3423479,0.051,2.7964,-0.0003,0.0,-0.1084,0.0
1757478131.3912542,0.051,2.7963,0.0005,0.0,-0.1084,0.0
1757478131.4398892,0.051,2.7962,0.0019,0.0,-0.1084,0.0
1757478131.4885952,0.051,2.7963,0.0031,0.0,-0.1084,0.0
1757478131.5373101,0.051,2.7963,0.0023,0.0,-0.1084,0.0
1757478131.5861304,0.051,2.7963,-0.0014,0.0,-0.1084,0.0
1757478131.634873,0.052,2.7963,0.0006,0.0,-0.1084,0.0
1757478131.6835127,0.051,2.7964,0.0009,0.0,-0.1084,0.0
1757478131.7323303,0.05,2.7963,-0.0001,0.0,-0.1084,0.0
1757478131.7811353,0.052,2.7962,-0.0022,0.0,-0.1084,0.0
1757478131.8298326,0.05,2.7963,0.0035,0.0,-0.1084,0.0
1757478131.878804,0.051,2.7962,-0.0007,0.0,-0.1084,0.0
1757478131.9275901,0.051,2.7961,-0.0018,0.0,-0.1084,0.0
1757478131.9760442,0.051,2.7962,-0.0031,0.0,-0.1084,0.0
1757478132.024895,0.051,2.7962,-0.0003,0.0,-0.1084,0.0
1757478132.0735803,0.052,2.7961,-0.0021,0.0,-0.1084,0.0
1757478132.1224396,0.05,2.796,0.0001,0.0,-0.1084,0.0
1757478132.1710417,0.051,2.796,0.0001,0.0,-0.1084,0.0
1757478132.21999,0.052,2.7958,0.0014,0.0,-0.1084,0.0
1757478132.2686872,0.05,2.796,0.0018,0.0,-0.1084,0.0
1757478132.3661597,0.051,2.796,0.0007,0.0,-0.1084,0.0
1757478132.414831,0.052,2.796,0.0001,0.0,-0.1084,0.0
1757478132.463503,0.051,2.796,-0.001,0.0,-0.1084,0.0
1757478132.512316,0.051,2.796,0.0021,0.0,-0.1084,0.0
1757478132.5610552,0.051,2.796,-0.001,0.0,-0.1084,0.0
1757478132.6098962,0.051,2.796,-0.0031,0.0,-0.1084,0.0
1757478132.658579,0.051,2.7961,-0.0017,0.0,-0.1084,0.0
1757478132.7074113,0.051,2.796,-0.0015,0.0,-0.1084,0.0
1757478132.7560482,0.051,2.796,-0.0009,0.0,-0.1084,0.0
1757478132.8048606,0.051,2.796,-0.0037,0.0,-0.1084,0.0
1757478132.8561208,0.051,2.796,-0.001,0.0,-0.1084,0.0
1757478132.9025793,0.051,2.7961,-0.001,0.0,-0.1084,0.0
1757478132.9510999,0.051,2.7961,0.0019,0.0,-0.1084,0.0
1757478132.9997573,0.051,2.7962,-0.0014,0.0,-0.1084,0.0
1757478133.0486887,0.051,2.7963,-0.0015,0.0,-0.1084,0.0
1757478133.0973058,0.051,2.7963,-0.0015,0.0,-0.1084,0.0
1757478133.1460967,0.051,2.7963,0.0021,0.0,-0.1084,0.0
1757478133.194938,0.051,2.7963,-0.0005,0.0,-0.1084,0.0
1757478133.2434905,0.051,2.7964,0.0014,0.0,-0.1084,0.0
1757478133.2922742,0.051,2.7963,-0.0007,0.0,-0.1084,0.0
1757478133.3416257,0.051,2.7963,0.0027,0.0,-0.1084,0.0
1757478133.4399767,0.051,2.7964,0.0015,0.0,-0.1084,0.0
1757478133.4874413,0.051,2.7964,-0.0013,0.0,-0.1084,0.0
1757478133.537194,0.051,2.7964,-0.003,0.0,-0.1084,0.0
1757478133.5873978,0.051,2.7964,0.0007,0.0,-0.1084,0.0
1757478133.6356666,0.051,2.7963,0.0019,0.0,-0.1084,0.0
1757478133.6844409,0.051,2.7962,0.0013,0.0,-0.1084,0.0
1757478133.7319002,0.05,2.7963,-0.0011,0.0,-0.1084,0.0
1757478133.7807014,0.051,2.7963,0.0021,0.0,-0.1084,0.0
1757478133.8294106,0.051,2.7963,-0.001,0.0,-0.1084,0.0
1757478133.8782048,0.051,2.7963,0.0001,0.0,-0.1084,0.0
1757478133.9272497,0.051,2.7963,0.0026,0.0,-0.1084,0.0
1757478133.9750457,0.051,2.7963,0.0025,0.0,-0.1084,0.0
1757478134.0239544,0.051,2.7964,-0.0013,0.0,-0.1084,0.0
1757478134.0732095,0.051,2.7962,-0.0007,0.0,-0.1084,0.0
1757478134.12151,0.051,2.7962,-0.0018,0.0,-0.1084,0.0
1757478134.1699543,0.051,2.7963,-0.0019,0.0,-0.1084,0.0
1757478134.2190218,0.051,2.7963,-0.0001,0.0,-0.1084,0.0
1757478134.2680976,0.051,2.7964,-0.0023,0.0,-0.1084,0.0
1757478134.3164582,0.051,2.7964,0.0019,0.0,-0.1084,0.0
1757478134.3656094,0.051,2.7964,-0.0014,0.0,-0.1084,0.0
1757478134.4158475,0.051,2.7964,-0.0018,0.0,-0.1084,0.0
1757478134.4644434,0.051,2.7964,-0.0005,0.0,-0.1084,0.0
1757478134.5611174,0.051,2.7964,-0.0002,0.0,-0.1084,0.0
1757478134.6103246,0.051,2.7965,-0.0026,0.0,-0.1084,0.0
1757478134.6577368,0.051,2.7965,0.0015,0.0,-0.1084,0.0
1757478134.706903,0.052,2.7964,-0.0041,0.0,-0.1084,0.0
1757478134.7552807,0.05,2.7964,-0.0015,0.0,-0.1084,0.0
1757478134.8042996,0.052,2.7965,-0.0013,0.0,-0.1084,0.0
1757478134.8526833,0.051,2.7965,0.0034,0.0,-0.1084,0.0
1757478134.901908,0.051,2.7966,-0.0003,0.0,-0.1084,0.0
1757478134.9502535,0.051,2.7965,-0.0011,0.0,-0.1084,0.0
1757478134.9990137,0.051,2.7966,-0.0005,0.0,-0.1084,0.0
1757478135.0481684,0.051,2.7966,-0.0017,0.0,-0.1084,0.0
1757478135.0965936,0.05,2.7965,-0.0003,0.0,-0.1084,0.0
1757478135.1451855,0.052,2.7964,-0.0002,0.0,-0.1084,0.0
1757478135.1939893,0.051,2.7964,0.0011,0.0,-0.1084,0.0
1757478135.243105,0.051,2.7964,-0.0005,0.0,-0.1084,0.0
1757478135.2930105,0.051,2.7962,0.0023,0.0,-0.1084,0.0
1757478135.3407514,0.051,2.7961,0.0001,0.0,-0.1084,0.0
1757478135.3912594,0.051,2.7963,-0.0006,0.0,-0.1084,0.0
1757478135.4388502,0.051,2.7963,-0.0003,0.0,-0.1084,0.0
1757478135.4872594,0.051,2.7964,-0.0019,0.0,-0.1084,0.0
1757478135.5348892,0.051,2.8121,0.0203,25.0,-0.1054,0.1276
1757478135.6325967,0.051,2.8355,0.0298,25.0,-0.0957,0.2553
1757478135.6814032,0.051,2.8533,0.308,25.0,-0.08,0.3191
1757478135.7299387,0.052,2.8799,0.4585,25.0,-0.062,0.3829
1757478135.7786617,0.051,2.9033,0.3927,25.0,-0.043,0.3829
1757478135.8271663,0.051,2.9139,0.3066,25.0,-0.0226,0.7658
1757478135.875977,0.052,2.901,0.2163,0.0,-0.0075,0.2553
1757478135.9247167,0.051,2.8639,-0.2223,0.0,-0.0014,0.0
1757478135.9734993,0.051,2.8332,-0.5057,0.0,-0.0004,0.0
1757478136.0222352,0.051,2.8033,-0.5948,0.0,-0.0004,0.0
1757478136.0713751,0.051,2.7809,-0.4103,0.0,-0.0004,0.0
1757478136.120181,0.051,2.7742,-0.0344,0.0,-0.0004,0.0
1757478136.1689703,0.051,2.7853,0.3077,0.0,-0.0004,0.0
1757478136.2198865,0.051,2.808,0.4588,0.0,-0.0004,0.0
1757478136.2665694,0.051,2.8286,0.3411,0.0,-0.0004,0.0
1757478136.3162796,0.051,2.8359,0.0491,0.0,-0.0004,0.0
1757478136.363684,0.051,2.8278,-0.2483,0.0,-0.0004,0.0
1757478136.4126668,0.051,2.8115,-0.3437,0.0,-0.0004,0.0
1757478136.4614363,0.051,2.7978,-0.23,0.0,-0.0004,0.0
1757478136.5117936,0.051,2.7942,-0.0178,0.0,-0.0004,0.0
1757478136.5600896,0.051,2.8011,0.1801,0.0,-0.0004,0.0
1757478136.6086192,0.051,2.8134,0.2452,0.0,-0.0004,0.0
1757478136.7055004,0.051,2.8234,0.1643,0.0,-0.0004,0.0
1757478136.7537253,0.051,2.8257,-0.0157,0.0,-0.0004,0.0
1757478136.8022292,0.051,2.82,-0.1513,0.0,-0.0004,0.0
1757478136.850932,0.051,2.8115,-0.1686,0.0,-0.0004,0.0
1757478136.89966,0.051,2.8058,-0.0795,0.0,-0.0004,0.0
1757478136.9484854,0.051,2.8065,0.048,0.0,-0.0004,0.0
1757478136.9972434,0.051,2.8118,0.1169,0.0,-0.0004,0.0
1757478137.0459778,0.051,2.8177,0.1015,0.0,-0.0004,0.0
1757478137.0946748,0.051,2.8202,0.0234,0.0,-0.0004,0.0
1757478137.1434138,0.051,2.8184,-0.0636,0.0,-0.0004,0.0
1757478137.1921582,0.051,2.8143,-0.0864,0.0,-0.0004,0.0
1757478137.2409694,0.051,2.8111,-0.0484,0.0,-0.0004,0.0
1757478137.2896895,0.051,2.8111,0.0153,0.0,-0.0004,0.0
1757478137.3384705,0.051,2.8136,0.0586,0.0,-0.0004,0.0
1757478137.387444,0.051,2.8166,0.048,0.0,-0.0004,0.0
1757478137.4359047,0.051,2.8175,0.0013,0.0,-0.0004,0.0
1757478137.4847114,0.051,2.8159,-0.0371,0.0,-0.0004,0.0
1757478137.533462,0.051,2.814,-0.041,0.0,-0.0004,0.0
1757478137.5822604,0.051,2.813,-0.0122,0.0,-0.0004,0.0
1757478137.6309185,0.051,2.8136,0.0171,0.0,-0.0004,0.0
1757478137.6796603,0.051,2.8152,0.0295,0.0,-0.0004,0.0
1757478137.7284734,0.05,2.8162,0.0142,0.0,-0.0004,0.0
1757478137.8258789,0.051,2.816,-0.0122,0.0,-0.0004,0.0
1757478137.87337,0.052,2.815,-0.0247,0.0,-0.0004,0.0
1757478137.9234135,0.05,2.8142,-0.0122,0.0,-0.0004,0.0
1757478137.9721568,0.051,2.8143,0.0034,0.0,-0.0004,0.0
1757478138.020981,0.051,2.8151,0.0182,0.0,-0.0004,0.0
1757478138.0696664,0.052,2.8158,0.0103,0.0,-0.0004,0.0
1757478138.1184711,0.05,2.8158,-0.0054,0.0,-0.0004,0.0
1757478138.167162,0.051,2.8152,-0.0137,0.0,-0.0004,0.0
1757478138.2158961,0.051,2.8147,-0.0105,0.0,-0.0004,0.0
1757478138.2647014,0.051,2.8147,-0.0003,0.0,-0.0004,0.0
1757478138.313437,0.051,2.8152,0.0097,0.0,-0.0004,0.0
1757478138.3621998,0.051,2.8156,0.0046,0.0,-0.0004,0.0
1757478138.4109805,0.051,2.8155,-0.0001,0.0,-0.0004,0.0
1757478138.4596546,0.051,2.8151,-0.009,0.0,-0.0004,0.0
1757478138.5085025,0.052,2.8147,-0.0021,0.0,-0.0004,0.0
1757478138.5572171,0.051,2.8147,0.0018,0.0,-0.0004,0.0
1757478138.6059625,0.051,2.8149,0.0055,0.0,-0.0004,0.0
1757478138.65467,0.051,2.8152,0.001,0.0,-0.0004,0.0
1757478138.7034085,0.051,2.8152,-0.0014,0.0,-0.0004,0.0
1757478138.7521284,0.051,2.815,-0.0049,0.0,-0.0004,0.0
1757478138.800951,0.051,2.8148,-0.0039,0.0,-0.0004,0.0
1757478138.8983448,0.051,2.8148,0.0001,0.0,-0.0004,0.0
1757478138.9458737,0.051,2.815,0.0035,0.0,-0.0004,0.0
1757478138.9959147,0.051,2.8151,-0.0007,0.0,-0.0004,0.0
1757478139.044731,0.051,2.815,-0.0035,0.0,-0.0004,0.0
1757478139.0934775,0.051,2.815,-0.0023,0.0,-0.0004,0.0
1757478139.1422446,0.051,2.815,-0.0017,0.0,-0.0004,0.0
1757478139.1909246,0.051,2.8151,0.0011,0.0,-0.0004,0.0
1757478139.2396321,0.051,2.8152,0.0029,0.0,-0.0004,0.0
1757478139.2884073,0.051,2.8153,0.0005,0.0,-0.0004,0.0
1757478139.3372045,0.051,2.8152,-0.0046,0.0,-0.0004,0.0
1757478139.3874757,0.051,2.815,0.0009,0.0,-0.0004,0.0
1757478139.4347856,0.051,2.8151,0.0015,0.0,-0.0004,0.0
1757478139.4833875,0.051,2.8152,-0.0011,0.0,-0.0004,0.0
1757478139.5321124,0.051,2.8153,0.0011,0.0,-0.0004,0.0
1757478139.5809548,0.051,2.8153,-0.0001,0.0,-0.0004,0.0
1757478139.6305473,0.051,2.8152,-0.0029,0.0,-0.0004,0.0
1757478139.6792445,0.051,2.8152,-0.0026,0.0,-0.0004,0.0
1757478139.728082,0.051,2.8152,0.0009,0.0,-0.0004,0.0
1757478139.7771761,0.051,2.8152,0.0029,0.0,-0.0004,0.0
1757478139.826305,0.051,2.8152,-0.0015,0.0,-0.0004,0.0
1757478139.8746421,0.051,2.8152,0.0002,0.0,-0.0004,0.0
1757478139.9233866,0.051,2.8151,-0.0026,0.0,-0.0004,0.0
1757478139.9721394,0.051,2.8152,0.0007,0.0,-0.0004,0.0
