dt,angle,angle_dt,pwm,pos,pos_dt,source_file
0.05,2.7911,-0.031,-30.0,-0.0065,-0.1914,ident_20250910_062016.csv
0.052,2.7673,-0.0384,-30.0,-0.0203,-0.3191,ident_20250910_062016.csv
0.051,2.7508,-0.1673,-30.0,-0.0399,-0.2978,ident_20250910_062016.csv
0.051,2.7326,-0.4837,-30.0,-0.0622,-0.4467,ident_20250910_062016.csv
0.052,2.6997,-0.6029,-30.0,-0.0863,-0.5105,ident_20250910_062016.csv
0.051,2.6789,-0.3254,-30.0,-0.1114,-0.4467,ident_20250910_062016.csv
0.052,2.7232,0.1822,0.0,-0.1249,-0.1914,ident_20250910_062016.csv
0.051,2.7735,0.492,0.0,-0.1307,0.0,ident_20250910_062016.csv
0.05,2.8151,0.7518,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.8512,0.7404,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8756,0.4176,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.878,-0.0719,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.859,-0.4544,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8285,-0.5866,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8028,-0.4165,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.7925,-0.0817,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.7995,0.2593,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.8183,0.4305,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8378,0.3643,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8469,0.1244,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.8424,-0.1509,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.05,2.828,-0.3058,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8126,-0.2765,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.052,2.8038,-0.0976,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8059,0.111,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8155,0.2208,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.825,0.1883,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8293,0.0468,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8257,-0.1011,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8178,-0.1595,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8107,-0.1126,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8086,0.0006,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8119,0.0948,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8172,0.106,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8205,0.0468,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8198,-0.0374,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8158,-0.0791,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8121,-0.0584,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8109,-0.0053,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8125,0.049,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8152,0.0534,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8166,0.0163,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8158,-0.0286,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8136,-0.0435,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,-0.0211,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8117,0.0098,0.0,-0.1315,0.0,ident_20250910_062016.csv
0.051,2.8129,0.032,0.0,-0.1315,0.0,ident_20250910_062016.csv
